"","X.1","X","ï..DATE","TIME","BOROUGH","ZIP.CODE","LATITUDE","LONGITUDE","LOCATION","ON.STREET.NAME","CROSS.STREET.NAME","OFF.STREET.NAME","NUMBER.OF.PERSONS.INJURED","NUMBER.OF.PERSONS.KILLED","NUMBER.OF.PEDESTRIANS.INJURED","NUMBER.OF.PEDESTRIANS.KILLED","NUMBER.OF.CYCLIST.INJURED","NUMBER.OF.CYCLIST.KILLED","NUMBER.OF.MOTORIST.INJURED","NUMBER.OF.MOTORIST.KILLED","CONTRIBUTING.FACTOR.VEHICLE.1","CONTRIBUTING.FACTOR.VEHICLE.2","CONTRIBUTING.FACTOR.VEHICLE.3","CONTRIBUTING.FACTOR.VEHICLE.4","CONTRIBUTING.FACTOR.VEHICLE.5","UNIQUE.KEY","VEHICLE.TYPE.CODE.1","VEHICLE.TYPE.CODE.2","VEHICLE.TYPE.CODE.3","VEHICLE.TYPE.CODE.4","VEHICLE.TYPE.CODE.5","number_vehicles_involved"
"854",1268,6850,"11/04/2016","23:11","MANHATTAN",10001,40.7533873,-73.996304,"(40.7533873, -73.996304)","WEST 34 STREET","9 AVENUE",,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unsafe Lane Changing",,,,3554849,"PASSENGER VEHICLE","SPORT UTILITY / STATION WAGON",,,,2
"855",1269,6851,"11/04/2016","23:11","MANHATTAN",10016,40.7460781,-73.9749359,"(40.7460781, -73.9749359)","2 AVENUE","EAST 36 STREET",,0,0,0,0,0,0,0,0,"Other Vehicular",,,,,3554464,"PASSENGER VEHICLE",,,,,1
"856",1271,6860,"11/04/2016","23:11","BROOKLYN",11207,40.6756249,-73.8987786,"(40.6756249, -73.8987786)","ATLANTIC AVENUE","GEORGIA AVENUE",,2,0,0,0,0,0,2,0,"Driver Inattention/Distraction",,,,,3554423,"PASSENGER VEHICLE",,,,,1
"857",1272,6861,"11/04/2016","23:11","BROOKLYN",11207,40.6739843,-73.8906409,"(40.6739843, -73.8906409)","GLENMORE AVENUE","VAN SICLEN AVENUE",,2,0,0,0,0,0,2,0,"Failure to Yield Right-of-Way","Unspecified",,,,3554904,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"858",1274,6877,"11/04/2016","3:11","MANHATTAN",10029,40.7979446,-73.9421216,"(40.7979446, -73.9421216)","EAST 115 STREET","LEXINGTON AVENUE",,0,0,0,0,0,0,0,0,"Alcohol Involvement","Unspecified",,,,3554703,"SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON",,,,2
"859",1277,6892,"11/04/2016","3:11","BROOKLYN",11201,40.6938865,-73.9992355,"(40.6938865, -73.9992355)","FURMAN STREET","JORALEMON STREET",,1,0,0,0,0,0,1,0,"Other Vehicular",,,,,3553674,"PASSENGER VEHICLE",,,,,1
"860",1278,6893,"11/04/2016","3:11","STATEN ISLAND",10306,40.5765028,-74.1036882,"(40.5765028, -74.1036882)","HYLAN BOULEVARD","LINCOLN AVENUE",,1,0,0,0,0,0,1,0,"Turning Improperly","Unspecified",,,,3553909,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"861",1280,6909,"11/04/2016","4:11","MANHATTAN",10009,40.7260539,-73.9835337,"(40.7260539, -73.9835337)","AVENUE A","EAST 7 STREET",,1,0,0,0,1,0,0,0,"Unspecified","Unspecified",,,,3554521,"TAXI","BICYCLE",,,,2
"862",1281,6910,"11/04/2016","5:11","BRONX",10457,40.8453609,-73.8968361,"(40.8453609, -73.8968361)","3 AVENUE","EAST 176 STREET",,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",,,,3554165,"SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON",,,,2
"863",1282,6911,"11/04/2016","5:11","MANHATTAN",10001,40.7517512,-74.0079259,"(40.7517512, -74.0079259)","12 AVENUE","WEST 26 STREET",,0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way","Unspecified",,,,3554773,"SPORT UTILITY / STATION WAGON",,,,,1
